asd,asd,asd,asd
A 能和別人相處融洽 ,B 對自己沒有信心,C 能徹底執行任何一項工作 ,D容易有點情緒化
A 不喜歡和別人在一起,B 不會焦慮或緊張,C 一位很不可信賴的人,D 在團體討論中，居領導的地位
A 行事有點緊張兮兮的,B 能強烈的影響別人,C 不喜歡社交性的聚會,D 一位很堅毅而穩健的工作者
A 容易結交新朋友,B 不能長久堅守相同的工作,C 容易受到別人支配,D 即使遭遇挫折，也能自我控制
A 能獨自做重要的決斷,B 不容易和陌生人交往,C 容易緊張或敏感激動,D 儘管有困難，還是會完成工作
A 不太有興趣於人際交往,B 不能認真地負起責任,C 時常保持穩健而鎮靜,D 在團體活動中常居於領導地位
A 可以信賴的人,B 事情不順利時，容易心情煩躁,C 對自己的意見不太有把握,D 比較喜歡有人作伴
A 覺得影響別人是容易的,B 遇到任何阻礙，都要把工作做完,C 社交關係僅限於少數幾個人,D 是一位比較神經過敏的人
A 不太容易結交朋友,B 能積極參與團體事務,C 能履行例行職責至完成為止,D 情緒不太穩定平衡
A 確信和別人的關係,B 情感頗易受到傷害,C 具有很好的工作習慣,D 只願和少數朋友來往
A 有點容易激動,B 能夠應付任何情況,C 不喜歡和陌生人交談,D 對任何從事的工作能貫徹始終
A 不喜歡和別人爭論,B 不能照預定的計畫表行事,C 一位鎮靜而不易激動的人,D 非常喜好社交活動
A 不會煩惱或憂慮,B 缺乏責任感,C 對認識各種人不感興趣,D 善於管理他人
A 容易和別人友善相處,B 在團體活動中，寧願讓別人領導,C 似有一種容易憂慮的本性,D 能不顧任何困難終於一項任務
A 能左右他人的意見,B 缺乏參加團體活動的興趣,C 一位相當神經質的人,D 對所擔任的工作，能堅持到底
A 態度鎮定而悠閒,B 不能堅守手邊的工作,C 喜歡周圍有許多人,D 對自己能力不太有信心
A 可以讓人充分信賴,B 不關心身邊多數人的情況,C 覺得很難放鬆心情,D 在團體討論中擔負積極角色
A 對一個問題，不輕易的放棄,B 顯得有點緊張的樣子,C 缺乏自信,D 喜歡和其他伙伴消磨時間
A 一位很有創意的思考者,B 一位有點遲鈍而懶散的人,C 喜歡批評別人,D 做決定總覺經過多方考慮
A 相信每個人在本質上是誠實的,B 在工作或娛樂時喜歡輕鬆以赴,C 具有很愛追根究柢的態度,D 做事很容易衝動
A 一位精力很充沛的人,B 不太會跟人發脾氣,C 不喜歡研究複雜而困難的問題,D 較喜歡熱鬧而輕鬆的聚會
A 喜歡討論各種想法,B 有點容易對從事的事物厭倦,C 經常三思而後行,D 不大信任別人
A 喜歡主要具有構想的工作,B 做事的步調比較緩慢,C 每當要做決定總是很謹慎,D 覺得很多人不易相處
A 喜歡投機或冒風險,B 很容易被人激怒,C 在短時間內能做完很多事情,D 花費很多時間思考新點子
A 一位很有耐性的人,B 喜歡找刺激和快感,C 能長時間不停的工作,D 寧願執行計畫而不願研擬計畫
A 一天終了總覺得很疲倦,B 常做匆促或草率的判斷,C 不怨恨別人,D 有強烈的求知慾
A 不會因一時衝動而行事,B 因別人的錯誤而動怒,C 沒有興趣去做批判性思考,D 寧願迅速地工作
A 常因別人而變得很苦惱,B 喜歡整天忙個不停,C 寧願不投機或冒風險,D 寧願做不太需要原創思考的工作
A 一位小心謹慎的人,B 比較喜歡慢慢地工作,C 很圓滑而又有外交手腕,D 寧願不做深奧的思考
A 對人容易失去耐心,B 比大多數人略少些持久力,C 容易表現獨創性特質,D 不太喜歡興奮刺激的事
A 易於憑預感行事,B 具有旺盛的精力和驅策力,C 除非有事實證明，不輕信別人,D 喜歡富有思考性的問題
A 不喜歡以快步調地工作,B 對別人深具信心,C 行事易流於一廂情願,D 喜歡解決複雜的問題
A 一位精力充沛的工作者,B 欣然接受別人的批評,C 不喜歡含有大量推理的問題,D 喜歡先行動而後思考
A 只談論別人的長處,B 行動之前非常謹慎,C 對需要動腦筋思考的討論不感興趣,D 不會趕著到處辦事
A 沒有尋根究底的精神,B 不會憑一時衝動行事,C 經常充滿活力,D 由於別人的缺點而發怒
A 能比別人做更多的事,B 只為找刺激而去碰運氣,C 當受到批評時會動怒,D 寧願做勞心的工作
A 非常相信別人,B 比較喜歡例行和簡單的工作,C 憑著一時的衝動而行事,D 有充沛的精力和活力
A 常常突然做決定,B 對每個人都有好感,C 在工作或娛樂時都保持快活的步調,D 對於求知缺乏濃厚的興趣
